"분류","항목","단위","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년",
"인사동","호주","","16","15.2","15.7","12.6","15.9","16.5","20.2","16.7",
"인사동","기타","","8.8","10.4","9.6","7.8","11.4","","14.6","9.6",
"제주도","전체","","11.1","11.3","9.3","","","","","",
"제주도","미국","","","10","","","","","","",
"제주도","캐나다","","10.7","14.7","10.2","","","","","",
"제주도","영국","","","7.8","","","","","","",
"제주도","독일","","8.7","7.2","","","","","","",
"제주도","러시아","","9","9.5","","","","","","",
"제주도","중동","","","11.5","","","","","","",
"제주도","일본","","7.5","6.7","6.6","","","","","",
"제주도","중국","","25.3","24","19.3","","","","","",
"제주도","홍콩","","","12.5","","","","","","",
"제주도","싱가포르","","35.2","41","29.7","","","","","",
"제주도","대만","","","","10.2","","","","","",
"제주도","말레이시아","","22.7","27.9","24.8","","","","","",
"제주도","호주","","","10.7","","","","","","",
"제주도","기타","","10.1","","","","","","","",
"남산, N서울타워","전체","","9.7","9.7","8.9","12.1","12.9","12.8","12","9.5",
"남산, N서울타워","미국","","9.4","12.3","11","16.2","13.8","12.8","11.1","",
"남산, N서울타워","캐나다","","","","9.7","12.8","12","11.6","","",
"남산, N서울타워","영국","","10.2","10","11.1","10.2","14.1","11.8","11.4","",
"남산, N서울타워","독일","","13.8","13.1","10.4","9.9","14.5","14.4","13.2","10",
"남산, N서울타워","프랑스","","7.8","9.2","7.7","10.3","13","11.6","12.7","",
"남산, N서울타워","러시아","","12.3","14.9","12.3","19.3","17.6","15.4","11.9","18.5",
"남산, N서울타워","중동","","14.5","7.7","8.4","17.9","14.3","","13.1","",
"남산, N서울타워","인도","","","","17","18.6","17.4","16.4","18.2","13.3",
"남산, N서울타워","일본","","9.1","9.6","8.2","11.2","","","","",
"남산, N서울타워","중국","","","","","10","","15.1","12.7","",
"남산, N서울타워","홍콩","","7.2","10.3","","12","13.1","14.2","","",
"남산, N서울타워","대만","","10","11.1","","13.8","20.4","28.2","16.3","15.7",
"남산, N서울타워","태국","","","","","17.6","","21.8","28","24.9",
"남산, N서울타워","말레이시아","","","","","9.8","","","","17.5",
"남산, N서울타워","호주","","12.6","9.8","11.6","14.1","13.8","13.3","","",
"남산, N서울타워","기타","","13.7","9.5","11.9","12.8","15.4","13.4","15.5","11.4",
"박물관","전체","","10.4","8.1","7.6","6.3","","","","",
"박물관","미국","","16.2","14.4","16.5","14.3","13.5","11","","11.2",
"박물관","캐나다","","13.6","11.7","12.8","12.1","","","","",
"박물관","영국","","10.6","8.7","10.9","7.8","","","","8.3",
"박물관","독일","","9.6","6.2","8.3","7.9","7.9","","","8.4",
"박물관","프랑스","","12.8","13.2","10.5","6.5","","","","",
"박물관","러시아","","16","13.1","12.3","8.9","","","","",
"박물관","중동","","15.1","8.3","","9.1","","","","",
"박물관","인도","","","","14.6","10","11.3","10.9","","",
"박물관","일본","","6.6","4.9","4.2","3.7","","","","",
"박물관","중국","","10.2","","","7.5","","","","",
"박물관","홍콩","","11.5","","","","","","","",
"박물관","싱가포르","","7","","","","","","","",
"박물관","태국","","13","9.6","10.6","","","","","",
"박물관","말레이시아","","12.2","10.6","","","","","","",
"박물관","호주","","14.1","9.2","11.8","9.7","13.5","","12.5","",
"박물관","기타","","17.4","11.5","11.7","8.2","10.7","8.9","","",
"롯데월드","전체","","9.6","","6.6","7.4","","","","9.5",
"롯데월드","독일","","6.4","","","","","","","",
"롯데월드","러시아","","19","13","15.1","11.7","16.5","15.9","14.5","21.9",
"롯데월드","중동","","15","9.4","7.8","8.4","","14","","",
"롯데월드","인도","","","","11.4","9.5","","","","",
"롯데월드","일본","","","","","5.8","","","","",
"롯데월드","중국","","15","10.5","10.2","11","14.7","18","","14.9",
"롯데월드","홍콩","","40","12.9","24.4","17.3","23.4","16.7","17.2","11.4",
"롯데월드","싱가포르","","29.3","21.3","20.5","24.6","18.7","16.9","14.5","13.7",
"롯데월드","대만","","15.2","","10.3","9.7","","20","14","",
"롯데월드","태국","","13.2","","","","","","","",
"롯데월드","말레이시아","","20.5","13.7","16.6","14.1","","","","",
"롯데월드","기타","","","","","5.3","","","","",
"수원화성","일본","","","","4.6","","","","","",
"수원화성","태국","","","","6.5","","","","","",
"인천","전체","","","7.2","","","","","","",
"인천","미국","","","12.1","","","","","","",
"인천","영국","","","10.6","","6.4","","","","",
"인천","독일","","","9.2","","","","","","",
"인천","프랑스","","","","6.8","","","","","",
"인천","중동","","7.9","11.5","7.4","7.8","","","","",
"인천","인도","","","","12.3","","","","","",
"인천","중국","","10.1","9.4","9.6","9.1","","","","",
"인천","대만","","","7.7","","","","","","",
"인천","태국","","","16.9","","","","","","",
"인천","호주","","8.6","15.6","13.6","9.6","","","","",
"인천","기타","","","12.6","7.6","","","","","",
"에버랜드","전체","","","","","5.7","","","","",
"에버랜드","러시아","","9.4","11.1","9.3","","9.8","","","",
"에버랜드","중동","","7.9","","","","","","","",
"에버랜드","인도","","","","","9.1","","","","10.7",
"에버랜드","중국","","","9.1","8.6","","","","","",
"에버랜드","홍콩","","15","23.1","15","16.2","11.7","","","",
"에버랜드","싱가포르","","43.6","39.4","31.5","24.9","24.8","","","",
"에버랜드","대만","","36.7","26.4","24.1","30.2","30","26.8","","14.3",
"에버랜드","태국","","27.9","20.7","21.3","25.6","36.9","45.9","34.9","",
"에버랜드","말레이시아","","26.3","24.6","21.6","15","20.5","15.1","19","",
"용평리조트","홍콩","","","","17.2","9.9","","","","",
"용평리조트","싱가포르","","18.5","21.4","18.7","17.3","","","","",
"용평리조트","태국","","","9.5","13.1","13.5","","","","",
"용평리조트","말레이시아","","","","11.4","","","","","",
"설악산","홍콩","","13","12.3","10.2","10.5","","","","",
"설악산","싱가포르","","14","13.7","9.8","10","","","","",
"설악산","대만","","","14","9.3","15.5","","","","",
"설악산","태국","","","","","13.6","","","","",
"설악산","말레이시아","","14.5","14.3","11.3","11.2","","","","",
"코엑스","미국","","","","9.8","8.2","","","","",
"코엑스","영국","","","","9.4","5.5","8.4","","","",
"코엑스","독일","","","","8.5","5.5","","","12.3","",
"코엑스","프랑스","","","","9.7","6.3","","","16.4","",
"코엑스","러시아","","","","","8.7","","","","",
"코엑스","중동","","","","10.5","","","","","",
"코엑스","인도","","","","10.6","11.7","","","12.9","",
"코엑스","일본","","","","","3.8","","","","",
"코엑스","홍콩","","","","9.2","12.8","","","","",
"코엑스","싱가포르","","","","9.1","","","","","",
"코엑스","태국","","","","","","","","48.8","",
"코엑스","말레이시아","","","","","","","","17","",
"코엑스","호주","","","","","","","","12.7","10",
"코엑스","기타","","","","7.1","","","","","",
"춘천, 남이섬","대만","","30.2","17.7","14.6","15.4","","","","",
"춘천, 남이섬","태국","","8.9","","14.1","29.1","27.4","46.3","","28.8",
"춘천, 남이섬","말레이시아","","","","","10.6","","","","22.8",
"청계천","대만","","10","12","11.2","10.1","","","","",
"대장금테마파크","일본","","5.7","","","","","","","",
"대장금테마파크","대만","","9.1","","","","","","","",
"대장금테마파크","태국","","14.8","12.4","8.6","","","","","",
"이태원","미국","","18.7","14.5","16.9","17.6","12","16.5","15","15.3",
"이태원","캐나다","","15.7","10.6","13.1","7.2","11.6","","10.8","11.1",
"이태원","영국","","8.1","","9","","","","","7.8",
"이태원","독일","","9.5","6.5","8.6","7.4","","","","",
"이태원","프랑스","","","8.9","9.6","","","11.1","","",
"이태원","러시아","","","6","","7.8","","","","",
"이태원","중동","","10.5","","9.5","11.7","","14.6","13.9","",
"이태원","인도","","","","12.1","10.9","11.7","12.4","","16.7",
"이태원","홍콩","","7.1","","","","","","","",
"이태원","태국","","9.2","10.7","","","","","","",
"이태원","말레이시아","","12.2","","10.3","","","","","",
"이태원","호주","","","","10.8","","","","","9.3",
"이태원","기타","","9.1","8.8","","6.6","","","","",
"휴전선, 판문점","미국","","12.1","14.4","10.8","13.9","","","","",
"휴전선, 판문점","캐나다","","12.6","12.5","9.2","8.6","","","","",
"휴전선, 판문점","영국","","7.5","7.1","","","","","","",
"휴전선, 판문점","호주","","","9.9","9.3","11","","","","",
"경주","캐나다","","10.3","","","","","","","",
"경주","영국","","","","7.4","","","","","",
"경주","프랑스","","13.6","9.6","8.4","9.1","","","","",
"경주","러시아","","8.7","","","","","","","",
"경주","일본","","","4","","","","","","",
"울산","프랑스","","","","8.3","","","","","",
"울산","중동","","","","9.9","","","","","",
"민속촌","미국","","10.6","","","","","","","",
"민속촌","러시아","","","","6.5","","","","","",
"민속촌","중국","","10.6","8.6","","10.4","","","","",
"민속촌","싱가포르","","","6.5","","","","","","",
"민속촌","말레이시아","","","8.8","","","","","","",
"민속촌","기타","","","","7.7","","","","","",
"한강, 유람선","인도","","","","9","8.1","","","","",
"한강, 유람선","중국","","8.2","","","","","","","",
"무응답","영국","","11.9","","","","","","","",
"무응답","독일","","12.3","","","","","","","",
"무응답","프랑스","","11.9","","","","","","","",
"무응답","호주","","9.9","","","","","","","",
"성산일출봉","중국","","","","","17.7","14.8","","12.8","17.5",
"한라산","싱가포르","","","","","12.6","","","","",
"중문관광단지/서귀포","싱가포르","","","","","7.9","","","","",
"신촌","프랑스","","","","","","","","","9.5",
"신촌","홍콩","","","","","","","","","-17.6",
"신촌","대만","","","","","6.8","","","","-13.4",
"대전","독일","","","","","4.3","","","","",
"여의도/63빌딩/영등포","중국","","","","","","","","11.6","",
"여의도/63빌딩/영등포","대만","","","","","","","","15.2","",
